Question,Options
下列各项，最符合“主诉”书写要求的是,"A 患高血压病3年
B 心绞痛反复发作3年
C 3年前开始多饮，多食，多尿
D 吞咽困难，进行性加重已1月余
E 某医院确诊为肺癌，介绍病人来诊"
下列除哪项外均符合问诊的要求,"A 态度和蔼，言语亲切
B 要将患者陈述的内容去粗取精，去伪存真
C 交谈时避免使用特定意义的医学术语
D 医生要多提出诱导性的问题
E 对危重患者只扼要询问，待病情缓和后再补充"
我国高血压病最常见的死亡原因是,"A 高血压危象
B 急性脑血管病
C 尿毒症
D 心力衰竭
E 缺血性心脏病"
属循环系统疾病问诊内容的是,"A 呼吸困难
B 呕吐
C 腰痛
D 肌肉震颤
E 腹泻"
属呼吸系统疾病问诊内容的是,"A 呼吸困难
B 呕吐
C 腰痛
D 肌肉震颤
E 腹泻"
下列除哪项外，均是采集主诉所要求的内容,"A 主诉是迫使患者就医的最主要的症状
B 一般不超过20个字
C 确切的主诉常可作为诊断的向导
D 记录主诉，尽量使用诊断术语
E 症状不突出者，可把就医作为的主要目的主诉"
食管疾病的胸痛特点是,"A 精神紧张诱发
B 含化硝酸甘油减轻
C 呼吸时加重，屏气时消失
D 压迫加剧
E 进食加剧"
下列除哪项外，均可胸痛,"A 带状疱疹
B 肺癌
C 气胸
D 心包炎
E 哮喘"
下列哪项除外，均属急腹症,"A 消化性溃疡病
B 急性胰腺炎伴黄疸
C 胃肠穿孔
D 肠梗阻
E 实质脏器破裂"
可表现为发热伴干性咳嗽的疾病是,"A 胸膜炎
B 肺炎链球菌肺炎
C 空洞型肺结核
D 支气管扩张
E 喉头水肿"
慢性咳嗽、大量脓痰、反复咯血最多见于,"A 慢性支气管炎
B 支气管肺癌
C 支气管扩张
D 肺结核
E 肺炎"
胆道结石，常表现,"A 慢性规律性的上腹痛
B 无规律性的上腹痛
C 右上腹绞痛
D 左上腹剧痛
E 全腹剧痛"
体温在39℃以上，一日内波动范围超过2℃者，多见于,"A 风湿热
B 伤寒
C 疟疾
D 大叶性肺炎
E 中暑"
消化性溃疡，常表现,"A 慢性规律性的上腹痛
B 无规律性的上腹痛
C 右上腹绞痛
D 左上腹剧痛
E 全腹剧痛"
干性胸膜炎的胸痛特点是,"A 精神紧张诱发
B 含化硝酸甘油减轻
C 呼吸时加重，屏气时消失
D 压迫加剧
E 进食加剧"
血尿伴剧烈腹痛最常见于,"A 肾炎
B 膀胱结核
C 肾肿瘤
D 泌尿系结石
E 过敏性紫癜"
第二心音固定分裂最常见于何种疾病,"A 动脉导管未闭
B 室间隔缺损
C 房间隔缺损
D 右束支阻滞
E 左束支传导阻滞"
患者，男，45岁。近日发现大便色黑，伴不规则上腹痛。检查：左锁骨上窝触及1个1cm1.2cm大小的淋巴结，质硬，大便隐血试验(+++)。应首先考虑的是,"A 消化性溃疡病
B 胆道感染合并出血
C 胃癌
D 血小板减少性紫癜
E 肝硬化"
代谢性酸中毒可出现的呼吸改变是,"A 潮式呼吸
B 叹息样呼吸
C 库斯莫尔呼吸
D 比奥呼吸
E 抽泣样呼吸"
呕吐与头部位置改变有密切关系的疾病是,"A 脑炎
B 耳源性眩晕
C 妊娠反应
D 尿毒症
E 糖尿病酮症酸中毒"
患者，女，20岁。突然发作上腹痛，按压后疼痛程度减轻。应首先考虑的是,"A 胃溃疡
B 胃痉挛
C 胃炎
D 急性胃扩张
E 胃穿孔"
下列哪项是支气管哮喘呼吸困难的类型,"A 呼气性
B 吸气性
C 混合性
D 阵发性
E 腹式呼吸消失"
发作性呼气性呼吸困难，临床最常见于,"A 气胸
B 气管内异物
C 急性支气管炎
D 急性心肌梗死
E 慢性阻塞性肺疾病"
X线下见右下肺出现大片的浓密阴影，其内见一个含有液平面的圆形空洞，洞内壁光整，洞壁较厚应首先考虑的是,"A 肺大疱
B 肺脓肿
C 浸润型肺结核空洞形成
D 慢性纤维空洞型肺结核
E 周围型肺癌空洞形成"
肝性脑病可见到的症状是,"A 静止性震颤
B 动作性震颤
C 老年性震颤
D 扑翼样震颤
E 手足搐搦"
下列哪项属于非感染性发热的疾病,"A 肺结核
B 肺炎
C 急性肾盂肾炎
D 伤寒
E 血清病"
下列哪项不属于意识障碍,"A 嗜睡
B 抽搐
C 意识模糊
D 谵妄
E 昏迷"
下列除哪项外，常可引起肝细胞性黄疸,"A 疟疾
B 急性甲型肝炎
C 中毒性肝炎
D 钩端螺旋体病
E 肝癌"
下列疾病均表现为干性咳嗽，但应除外哪一项疾病,"A 急性咽喉炎
B 慢性支气管炎
C 胸膜炎
D 轻症肺结核
E 急性支气管炎初期"
肺炎链球菌性肺炎的常见热型是,"A 稽留热
B 弛张热
C 间歇热
D 回归热
E 不规则热"
急性胃炎的临床表现是,"A 呕吐物为隔餐食物，带腐臭味
B 呕吐物为黄绿色，带粪臭味
C 呕吐物为大量粘液及食物
D 呕吐物为血液
E 吐出胃内容物后仍干呕不止"
急性左心功能不全，常伴有,"A 咯铁锈色痰
B 咯粉红色泡沫痰
C 咯吐大量鲜血
D 咯大量脓痰
E 干咳无痰"
抽搐伴高血压，肢体瘫痪，见于,"A 癔症
B 破伤风
C 脑血管疾病
D 中毒性痢疾
E 筋膜炎"
意识大部分丧失、强刺激下吞咽反射、角膜反射存在的是,"A 谵妄
B 嗜睡
C 昏睡
D 浅昏迷
E 深昏迷"
喷射性呕吐，可见于,"A 耳源性眩晕
B 胃炎
C 肠梗阻
D 尿毒症
E 脑炎"
下列哪项不属于吸气性呼吸困难,"A 喉头水肿
B 气管受压
C 气管异物
D 支气管哮喘
E 喉癌"
下列除哪项外，均可引起中枢性呕吐,"A 高血压脑病
B 洋地黄中毒
C 尿毒症
D 胆囊炎
E 妊娠反应"
意识障碍伴错觉、幻觉的是,"A 谵妄
B 嗜睡
C 昏睡
D 浅昏迷
E 深昏迷"
抽搐伴苦笑面容，见于,"A 癔症
B 破伤风
C 脑血管疾病
D 中毒性痢疾
E 筋膜炎"
左心功能不全发生在夜间阵发性呼吸困难的机制是,"A 通气功能障碍
B 换气功能障碍
C 呼吸中枢受抑制
D 外周化学感受器调节素
E 酸中毒"
急性胆囊炎的临床表现是,"A 呕吐物为隔餐食物，带腐臭味
B 呕吐物为黄绿色，带粪臭味
C 呕吐物为大量粘液及食物
D 呕吐物为血液
E 吐出胃内容物后仍干呕不止"
犬吠样咳嗽，可见于,"A 急性喉炎
B 急性支气管炎
C 支气管哮喘
D 肺结核
E 肺癌"
下列不属谵妄表现的是,"A 意识大部分丧失
B 谵语
C 躁动不安
D 意识模糊
E 错觉"
下列肺部疾病中，引起咯血最常见的疾病,"A 肺结核
B 肺淤血
C 肺梗塞
D 肺吸虫病
E 肺真菌病"
无尿是指成人24小时尿量不足,"A 150ml
B 100ml
C 80ml
D 50ml
E 10ml"
弛张热常见的疾病是,"A 伤寒
B 败血症
C 肺炎
D 支气管炎
E 布鲁菌病"
下列除哪项外，均可出现周围性呕吐,"A 洋地黄中毒
B 急性胃炎
C 胃穿孔
D 胆囊炎
E 咽部受激惹"
引起吸气性呼吸困难的疾病是,"A 气管肿瘤
B 慢性阻塞性肺气肿
C 支气管哮喘
D 气胸
E 大面积肺不张"
意识障碍伴瞳孔缩小，可见于,"A 阿托品中毒
B 酒精中毒
C 有机磷农药中毒
D 癫痫
E 肝昏迷"
下列关于溶血性黄疸的叙述，正确的是.,"A 直接迅速反应阳性
B 尿中结合胆红素阴性
C 血中非结合胆红素不增加
D 尿胆原阴性
E 大便呈灰白色"
肺炎球菌肺炎，常伴有,"A 咯铁锈色痰
B 咯粉红色泡沫痰
C 咯吐大量鲜血
D 咯大量脓痰
E 干咳无痰"
下列各项，可见间歇热的是,"A 急性肾盂肾炎
B 肺炎
C 风湿热
D 渗出性胸膜炎
E 霍奇金病"
胆道疾病引起的腹痛多放射至,"A 左肩部
B 右肩部
C 背部
D 左腰背
E 右股内侧"
出现大便隐血试验阳性，其上消化道出血量至少达到的数量是,"A 5～l0ml
B 10ml
C 20ml
D 50ml
E 60ml"
败血症的常见热型是,"A 稽留热
B 弛张热
C 间歇热
D 回归热
E 不规则热"
肺炎球菌肺炎的痰液特征是,"A 粉红色泡沫样痰
B 鲜红色痰
C 棕褐色痰
D 铁锈色痰
E 灰黄色痰"
